employee_id,employee_name,employee_contact,address,diet,region_code,gender
e_91,"Fang, Chau",018-914-8627,59 Hughes Ave,3,4,0
e_104,"Garcia, Dakarya",074-368-9825,15 al-Haider Blvd,4,5,1
e_92,"Garcia, Isamar",052-317-2438,94 Gonzalez Street,2,8,1
e_13,"Glover, Sydney",067-685-7396,221 Chow Street,1,1,0
e_27,"Gomez, Gabriel",063-134-3214,135 Vasquez Ave,4,3,1
e_94,"Gonzales, Williamina",078-576-1293,201 Rasberry-Jenkins Drive,4,8,0
e_33,"Her, Charlie",079-376-3549,21 al-Azzi Blvd,4,5,0
e_69,"Hernandez, Iva",013-972-9651,41 Zheng Blvd,1,7,0
e_3,"Hickey, Seong",079-932-2736,293 Rivas Blvd,3,6,1
e_15,"Hong, Savannah",074-167-3692,183 Nelson Ave,2,1,1
e_75,"Hudson, Kev",073-271-9814,189 al-Eid Ave,2,2,0
e_43,"Jackson, Tijhana",014-862-2851,45 Quinonez-Sierra Street,3,3,0
e_108,"Javaid, Tara",091-854-4612,53 Costandine Drive,3,3,1
e_21,"Johnson, Alonzo",093-386-4681,227 Saenz Street,1,2,0
e_120,"Johnson, Takayla",084-873-9814,275 Brown Ave,1,3,1
e_51,"Jones, Allonte",074-384-3698,6 Dieyleh Street,2,2,1
e_40,"Kamath, Charles",087-473-3179,99 Vasquez-Luna Ave,4,3,1
e_48,"Kennedy, Keona",046-715-4783,14 Flores Drive,4,3,0
e_89,"Kimble, Keaira",047-248-5824,166 Ashworth Drive,4,7,1
e_79,"Kinney, Asako",097-967-7483,217 Hanscome Ave,1,4,0
e_36,"Knight, Bryce",058-516-8324,32 al-Shakoor Blvd,4,3,1
e_55,"Lee, Steven",084-386-3541,260 Behrendt Ave,2,2,1
e_52,"Lopez, Andrew",073-587-3248,238 Phillips Ave,2,2,1
e_19,"Lorenzo, Zoe",078-728-1874,24 Grimes Blvd,1,1,1
e_53,"Louie, Tina",026-694-7286,171 Rutherford Blvd,2,5,0
e_20,"Luna, Richard",041-968-7581,86 Cao Drive,2,7,1
e_105,"Mahon, Dong",084-358-6437,81 Gonzales Ave,4,3,0
e_87,"Majekodunmi, Langston",067-216-1643,193 Wilson Street,4,6,1
e_74,"Malin, Kiana",019-249-3941,270 Justus Ave,4,7,1
e_7,"Manley, Andrew",049-257-3257,249 Gumataotao Blvd,3,6,1
e_68,"Martinez, Ana",079-674-3512,13 Salazar Drive,1,5,1
e_107,"Martinez, Jordan",075-852-1984,70 Nguyen Blvd,1,1,0
e_111,"Martinez, Terah",085-218-3867,89 Kirby Blvd,1,6,1
e_18,"Mathews, Micheal",078-948-8694,113 Secord Ave,1,2,1
e_73,"Matthews, Nancy",095-497-3579,290 Hall Street,3,7,0
e_81,"Mayes, Elvin",067-642-5269,251 Alegria Blvd,1,6,0
e_2,"Miles, Ashley",049-751-4831,277 Wu Ave,1,3,0
e_41,"Moss, Khalie",013-486-2315,255 Koehn Street,4,6,0
e_118,"Naranchuluun, Grady",031-645-5248,71 Brazee Ave,3,3,0
e_97,"Ndekezi, Aleya",015-617-4785,29 Chandler Ave,1,1,0
e_32,"Nguyen, Doann",058-647-3742,180 Bailey Street,3,1,1
e_84,"Nguyen, Robert",064-842-9345,204 Kunugi Ave,1,6,1
e_46,"Ortiz, Junior",078-735-8645,84 al-Shah Blvd,1,1,1
e_28,"Parmlee, Brian",075-345-8591,165 Marrs Ave,1,3,1
e_44,"Parra, Lylah",013-596-6921,17 al-Meer Blvd,3,7,0
e_76,"Perez, Jaime",036-956-4956,141 el-Noor Ave,1,8,1
e_5,"Perez, Michael",086-892-9123,77 Pacheco Street,3,8,0
e_60,"Pham, Thomas",072-518-7513,160 Bacca Blvd,3,2,1
e_11,"Pineda, Timothy",039-617-2174,104 Murphy Blvd,3,8,0
e_58,"Portillo, Blanca",028-291-6578,273 Navarro Blvd,4,2,1
e_109,"Preciado, Elexia",024-684-8921,105 Ludwig Drive,2,2,1
e_117,"Prom, Salman",039-291-1398,50 Wharton Blvd,1,3,0
e_61,"Puente, Omar",012-945-9138,10 Gatewood Drive,2,2,1
e_85,"Quintana, Alex",035-132-4251,231 Lowe Drive,2,2,0
e_16,"Ramirez-Quevado, Corbin",042-527-9381,66 Murad Blvd,1,2,0
e_10,"Richardson, Ja Rel",019-236-3158,137 Harris Ave,4,2,0
e_8,"Rivera, Xavier",091-267-5814,299 Rossell-Eddy Drive,2,5,1
e_112,"Robinson, Jennifer",032-639-8271,263 Turner Street,2,5,1
e_116,"Rojas, Eduardo",037-368-7354,292 al-Sabet Blvd,1,1,1
e_4,"Samad, Dao",054-415-3649,228 Lapaz Drive,3,8,0
e_77,"Samide, Phanindra",074-291-6234,19 Ley Ave,1,2,1
e_78,"Sanchez Jurado, Alejandro",095-935-8312,49 Smith Ave,3,1,0
e_88,"Santarosa, Alix",029-274-1875,28 Kreeger Drive,4,3,1
e_65,"Santos, Alejandro",021-692-5167,20 Christensen Street,2,4,1
e_38,"Santos, Caylin",089-937-1736,265 San Drive,3,3,1
e_24,"Sasser, Sarah",083-612-6521,131 Ochoa Street,4,8,1
e_96,"Senethong, Alexis",029-748-7521,192 Phonthongsy Drive,3,4,0
e_95,"Silva, Damian",051-182-9213,285 Pixley Street,4,6,1
e_71,"Sisco, Marcus",079-698-9326,179 Ahmad Drive,2,6,1
e_35,"Sparks, Cody",021-583-4521,63 Wilson Drive,3,7,0
e_31,"Su'E-Johnson, Keith",053-849-3651,161 el-Abdou Blvd,2,7,0
e_82,"Tarango-Rosales, Aide",074-634-7928,213 al-Zia Drive,1,1,0
e_115,"Tejan, A Jhi",062-653-4217,118 Andrew Blvd,2,4,1
e_59,"Tieu, Bailey",027-926-8369,175 Berry Drive,4,4,1
e_110,"Torres Weitzel Jr, Nikim",034-326-6219,38 Luevano III Ave,4,6,0
e_62,"Tufts, George",013-724-6853,85 Sharkey Street,3,2,0
e_113,"Valencia, Omar",084-365-1279,143 Rogers Drive,1,6,1
e_106,"Velasco, Diana",057-498-9756,122 el-Shad Blvd,2,5,0
e_100,"Vigil, Jessica",029-951-6349,23 Fraire Street,3,6,1
e_66,"Vongrith, Baldeep",032-259-9512,295 Webster Street,2,3,0
e_93,"Vu, David",096-539-7185,46 el-Tamer Street,3,1,0
e_90,"Williams, Alejandro",045-816-9361,145 L'Hirondelle Ave,2,7,0
e_42,"Williams, Christopher",045-564-1569,138 Cavazos Ave,1,4,0
e_57,"Yang, Rick",094-678-6489,170 Miner Blvd,3,7,0
e_86,"Zachareas, Taryn",078-813-4986,164 al-Sami Street,1,5,1
e_23,"Zahid, Siran",031-649-4526,184 Callaway Street,2,1,1
e_29,"Zavala, Elisa",059-814-4823,107 Herrera Drive,2,2,1
