BusinessEntityID,NationalIDNumber,LoginID,OrganizationNode,OrganizationLevel,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,SalariedFlag,VacationHours,SickLeaveHours,CurrentFlag,rowguid,ModifiedDate
19,52541318,adventure-works\mary2,/2/3/,2,Marketing Assistant,29-01-78,S,F,14-02-11,0,43,41,1,1F6DA901-C7F7-48A8-8EEF-D81868D72B52,29-06-14 22:00
20,323403273,adventure-works\wanida0,/2/4/,2,Marketing Assistant,17-03-75,M,F,07-01-11,0,41,40,1,43CCA446-DA1C-454C-8530-873AD2923E1B,29-06-14 22:00
21,243322160,adventure-works\terry0,/2/5/,2,Marketing Specialist,04-02-86,M,M,02-03-09,0,44,42,1,AD0D7626-4506-45C4-898F-9D7A0E13AABD,29-06-14 22:00
22,95958330,adventure-works\sariya0,/2/6/,2,Marketing Specialist,21-05-87,S,M,12-12-08,0,45,42,1,AF21F1B7-0691-48AD-B325-B8F2D7B2268A,29-06-14 22:00
23,767955365,adventure-works\mary0,/2/7/,2,Marketing Specialist,13-09-62,M,F,12-01-09,0,46,43,1,90899830-127E-4876-85CA-7F6E03025281,29-06-14 22:00
24,72636981,adventure-works\jill0,/2/8/,2,Marketing Specialist,18-06-79,M,F,18-01-09,0,47,43,1,53575C58-FBA1-4C1A-B8FF-95E050B44393,29-06-14 22:00
25,519899904,adventure-works\james1,/3/,1,Vice President of Production,07-01-83,S,M,03-02-09,1,64,52,1,D7314F24-2AF1-429C-9BBB-4038F45F3E6C,29-06-14 22:00
26,277173473,adventure-works\peter0,/3/1/,2,Production Control Manager,03-11-82,M,M,01-12-08,1,43,41,1,69D5D162-E817-45E7-9DEC-5D9B8310E7B1,26-12-14 8:17
27,446466105,adventure-works\jo0,/3/1/1/,3,Production Supervisor - WC60,08-10-56,S,F,27-02-08,0,80,60,1,83FFAAC6-B895-481F-B897-14F965D4DA47,29-06-14 22:00
28,14417807,adventure-works\guy1,/3/1/1/1/,4,Production Technician - WC60,13-03-88,M,M,30-06-06,0,21,30,1,AAE1D04A-C237-4974-B4D5-935247737718,29-06-14 22:00
29,948320468,adventure-works\mark1,/3/1/1/2/,4,Production Technician - WC60,25-09-79,S,M,23-01-09,0,19,29,1,CDB2C6DF-93E5-4558-91C8-424D5E7C658B,29-06-14 22:00
30,410742000,adventure-works\britta0,/3/1/1/3/,4,Production Technician - WC60,28-09-89,M,F,29-01-09,0,14,27,1,FC12677F-42F8-4790-AD69-685088ED7E5F,29-06-14 22:00
31,750246141,adventure-works\margie0,/3/1/1/4/,4,Production Technician - WC60,20-05-86,M,F,04-01-09,0,18,29,1,352D6E2F-655B-49A2-9FEC-EFD7D8CD0D30,29-06-14 22:00
32,330211482,adventure-works\rebecca0,/3/1/1/5/,4,Production Technician - WC60,10-07-77,M,F,29-12-08,0,23,31,1,BDADEB5C-A596-4DA1-88BA-842C7A0CC10F,29-06-14 22:00
33,801758002,adventure-works\annik0,/3/1/1/6/,4,Production Technician - WC60,26-12-76,M,M,17-12-08,0,17,28,1,51FDE6AC-BD50-467C-90E5-10CA7310455C,29-06-14 22:00
34,754372876,adventure-works\suchitra0,/3/1/1/7/,4,Production Technician - WC60,10-06-87,M,F,16-02-09,0,15,27,1,6ADBD932-0DA5-4F5C-AF67-8E3A53630896,29-06-14 22:00
35,999440576,adventure-works\brandon0,/3/1/1/8/,4,Production Technician - WC60,10-01-77,M,M,08-02-09,0,22,31,1,CA5D1935-44E2-4C45-93BB-809E59F56796,29-06-14 22:00
36,788456780,adventure-works\jose0,/3/1/1/9/,4,Production Technician - WC60,31-07-84,M,M,10-02-09,0,20,30,1,9E912556-88BA-41EE-B946-CB84AB4C1102,29-06-14 22:00
37,442121106,adventure-works\chris2,/3/1/1/10/,4,Production Technician - WC60,07-08-86,S,M,07-03-09,0,16,28,1,77B384C7-AFFB-4816-992B-F5B3034EE4FF,29-06-14 22:00
38,6298838,adventure-works\kim1,/3/1/1/11/,4,Production Technician - WC60,14-12-66,M,F,16-01-10,0,24,32,1,891C27F4-28CC-44BB-BEA3-DA5EA7FBE957,29-06-14 22:00
39,461786517,adventure-works\ed0,/3/1/1/12/,4,Production Technician - WC60,11-09-71,S,M,05-02-10,0,25,32,1,8EF22FB3-AF37-4B44-8862-D60A7CB09D82,29-06-14 22:00
40,309738752,adventure-works\jolynn0,/3/1/2/,3,Production Supervisor - WC60,16-01-56,S,F,26-12-07,0,82,61,1,2CC71B96-F421-485E-9832-8723337749BB,29-06-14 22:00
41,458159238,adventure-works\bryan0,/3/1/2/1/,4,Production Technician - WC60,27-08-73,S,M,21-01-09,0,35,37,1,4652D4E4-6A27-47ED-9F51-C377E293DA28,29-06-14 22:00
42,339712426,adventure-works\james0,/3/1/2/2/,4,Production Technician - WC60,25-07-84,M,M,27-12-08,0,39,39,1,82E52D5A-165B-4C6D-9773-C3A6B6332ECD,29-06-14 22:00
43,693325305,adventure-works\nancy0,/3/1/2/3/,4,Production Technician - WC60,19-11-88,M,F,02-01-09,0,34,37,1,6B7EB306-9A00-496A-98A9-4E94FE72F77C,29-06-14 22:00
44,276751903,adventure-works\simon0,/3/1/2/4/,4,Production Technician - WC60,17-05-90,S,M,08-12-08,0,38,39,1,F734D38A-56B5-471E-8DED-A682E958A9B3,29-06-14 22:00
45,500412746,adventure-works\thomas0,/3/1/2/5/,4,Production Technician - WC60,10-01-86,M,M,26-02-09,0,37,38,1,8FF3AF67-32F2-4A08-98C3-A40F842D41A3,29-06-14 22:00
46,66073987,adventure-works\eugene1,/3/1/2/6/,4,Production Technician - WC60,10-02-76,S,M,08-02-09,0,36,38,1,33543B35-77DA-4600-A41B-1EAFEA0AD643,29-06-14 22:00
47,33237992,adventure-works\andrew0,/3/1/3/,3,Production Supervisor - WC10,06-09-88,S,M,22-02-09,0,65,52,1,08365B05-C143-4260-A93C-6B69418B1946,29-06-14 22:00
48,690627818,adventure-works\ruth0,/3/1/3/1/,4,Production Technician - WC10,04-06-56,M,F,06-01-08,0,83,61,1,3E3B6905-209E-442E-B8A8-9A0980241C6A,29-06-14 22:00
49,912265825,adventure-works\barry0,/3/1/3/2/,4,Production Technician - WC10,26-03-56,S,M,07-01-08,0,88,64,1,756A60AE-378F-43D8-9F93-1E821D1EAF52,29-06-14 22:00
50,844973625,adventure-works\sidney0,/3/1/3/3/,4,Production Technician - WC10,30-08-56,M,M,02-02-08,0,84,62,1,40D603D9-7F99-48B7-A580-B17CF429BED2,29-06-14 22:00
51,132674823,adventure-works\jeffrey0,/3/1/3/4/,4,Production Technician - WC10,11-07-56,S,M,20-02-08,0,85,62,1,6E086F41-B81D-4BDC-9F13-0EEC488DC43E,29-06-14 22:00
52,565090917,adventure-works\doris0,/3/1/3/5/,4,Production Technician - WC10,04-04-56,M,F,10-03-08,0,86,63,1,692B8826-03B4-4C3B-82FC-1FC6F1409689,29-06-14 22:00
53,9659517,adventure-works\diane0,/3/1/3/6/,4,Production Technician - WC10,29-03-56,M,F,28-03-08,0,87,63,1,C334B2D2-0C56-4906-9095-F1D07A98CBEC,29-06-14 22:00
54,109272464,adventure-works\bonnie0,/3/1/3/7/,4,Production Technician - WC10,10-09-86,M,F,01-01-10,0,89,64,1,E950A52A-DF61-4FEC-9063-545664D65B89,29-06-14 22:00
55,233069302,adventure-works\taylor0,/3/1/4/,3,Production Supervisor - WC50,01-04-56,M,M,08-02-08,0,79,59,1,28F7EF89-2793-4989-B67D-25046543C1E3,29-06-14 22:00
56,652535724,adventure-works\denise0,/3/1/4/1/,4,Production Technician - WC50,06-07-88,M,F,05-02-09,0,9,24,1,77878C43-F16E-437D-892F-3CFCC0715A0A,29-06-14 22:00
57,10708100,adventure-works\frank1,/3/1/4/2/,4,Production Technician - WC50,24-07-71,S,M,23-02-09,0,10,25,1,B395CD84-77BA-4D3C-A49D-D9E8D6CF100B,29-06-14 22:00
58,571658797,adventure-works\kendall0,/3/1/4/3/,4,Production Technician - WC50,30-05-86,M,M,05-12-08,0,11,25,1,65207627-5521-4A8E-AD3C-B2F1B5226B85,29-06-14 22:00
59,843479922,adventure-works\bob0,/3/1/4/4/,4,Production Technician - WC50,16-08-79,S,M,24-12-08,0,12,26,1,68616AEA-81E5-4940-A7E4-6FBA882BCCF6,29-06-14 22:00
60,827686041,adventure-works\pete0,/3/1/4/5/,4,Production Technician - WC50,03-02-77,S,M,11-01-09,0,13,26,1,1F1D813D-3EDC-4274-8E9B-4519D71685B6,29-06-14 22:00
61,92096924,adventure-works\diane2,/3/1/4/6/,4,Production Technician - WC50,09-08-89,S,F,18-01-09,0,8,24,1,721A2921-C415-46DE-9111-13F25F428B8B,29-06-14 22:00
62,494170342,adventure-works\john0,/3/1/5/,3,Production Supervisor - WC60,07-08-56,M,M,17-03-08,0,81,60,1,D4ED1F78-7C28-479B-BFEF-A73228BA2AAA,29-06-14 22:00
63,414476027,adventure-works\maciej0,/3/1/5/1/,4,Production Technician - WC60,30-01-55,S,M,29-01-10,0,30,35,1,3229D93F-6A14-4BAC-ABC5-A91B9ECFB4D3,29-06-14 22:00
64,582347317,adventure-works\michael7,/3/1/5/2/,4,Production Technician - WC60,05-09-73,S,M,23-02-10,0,26,33,1,492B24BD-BDE9-4371-B96E-CCD72264B91F,29-06-14 22:00
65,8066363,adventure-works\randy0,/3/1/5/3/,4,Production Technician - WC60,28-04-70,M,M,23-02-10,0,29,34,1,9A08108D-E039-4862-8F93-55F18017AD72,29-06-14 22:00
66,834186596,adventure-works\karan0,/3/1/5/4/,4,Production Technician - WC60,07-03-70,S,M,22-12-09,0,28,34,1,08B1BA74-DD80-4FDA-8327-93268B84977B,29-06-14 22:00
67,63179277,adventure-works\jay0,/3/1/5/5/,4,Production Technician - WC60,11-02-76,S,M,05-03-09,0,32,36,1,18187809-5294-474F-85A1-D5BE6BD518D6,29-06-14 22:00
68,537092325,adventure-works\charles0,/3/1/5/6/,4,Production Technician - WC60,02-09-71,S,M,03-12-09,0,27,33,1,CDC11292-DF74-4FB0-8676-5B2AA4687142,29-06-14 22:00
69,752513276,adventure-works\steve0,/3/1/5/7/,4,Production Technician - WC60,06-04-91,S,M,15-02-09,0,31,35,1,12F678D7-EAD3-4CF4-8518-A19AACF2A6D4,29-06-14 22:00
70,36151748,adventure-works\david2,/3/1/5/8/,4,Production Technician - WC60,29-12-84,M,M,15-12-08,0,33,36,1,FC617BB8-D2A3-4374-873C-8EF38D80127D,29-06-14 22:00
71,578935259,adventure-works\michael3,/3/1/6/,3,Production Supervisor - WC30,29-01-89,S,M,15-02-09,0,70,55,1,1AD772D7-7B4A-4A7B-8676-49DD7608CB94,29-06-14 22:00
72,443968955,adventure-works\steven0,/3/1/6/1/,4,Production Technician - WC30,14-05-77,M,M,01-12-08,0,41,40,1,0A8937C9-68AA-4D48-BA4E-B40493D764AA,29-06-14 22:00
73,138280935,adventure-works\carole0,/3/1/6/2/,4,Production Technician - WC30,19-10-83,M,F,19-12-08,0,42,41,1,C76A41F1-A390-4AE4-A82A-2A87764C6391,29-06-14 22:00
74,420023788,adventure-works\bjorn0,/3/1/6/3/,4,Production Technician - WC30,06-11-89,S,M,07-01-09,0,43,41,1,A942E1E0-2D5E-4858-97C0-947020E96860,29-06-14 22:00
75,363996959,adventure-works\michiko0,/3/1/6/4/,4,Production Technician - WC30,27-06-82,S,M,26-01-09,0,44,42,1,F359F5B6-5E18-4C62-8531-14D951911CE5,29-06-14 22:00
76,227319668,adventure-works\carol0,/3/1/6/5/,4,Production Technician - WC30,17-10-88,M,F,12-02-09,0,45,42,1,8D0182A3-5B59-4EEA-9B3C-C7F05DA9A2CE,29-06-14 22:00
77,301435199,adventure-works\merav0,/3/1/6/6/,4,Production Technician - WC30,13-05-83,M,F,03-03-09,0,46,43,1,2EE7914A-62D3-473B-A0E1-E4E55341EC4E,29-06-14 22:00
78,370989364,adventure-works\reuben0,/3/1/7/,3,Production Supervisor - WC40,27-08-87,M,M,15-12-08,0,72,56,1,71EEE2A6-B9B3-4BF4-8949-01239DF7C901,29-06-14 22:00
79,697712387,adventure-works\eric1,/3/1/7/1/,4,Production Technician - WC40,08-12-66,M,M,24-01-10,0,60,50,1,55F62E38-9457-46C8-A824-E46A3117A935,29-06-14 22:00
80,943170460,adventure-works\sandeep0,/3/1/7/2/,4,Production Technician - WC40,03-12-70,S,M,17-01-10,0,65,52,1,606C21E2-3EC0-48A6-A9FE-6BC8123AC786,29-06-14 22:00
81,413787783,adventure-works\mihail0,/3/1/7/3/,4,Production Technician - WC40,09-03-71,S,M,29-12-09,0,64,52,1,03A9BA14-0D5B-4671-B851-2C1721EFBF01,29-06-14 22:00
82,58791499,adventure-works\jack1,/3/1/7/4/,4,Production Technician - WC40,29-08-73,S,M,03-03-10,0,62,51,1,D308D387-F7F3-4B5F-ABDA-FAF5574245CD,29-06-14 22:00
83,988315686,adventure-works\patrick1,/3/1/7/5/,4,Production Technician - WC40,23-12-73,M,M,12-02-10,0,61,50,1,296C52AE-169F-4292-975D-C508476DCECF,29-06-14 22:00
84,947029962,adventure-works\frank3,/3/1/7/6/,4,Production Technician - WC40,02-03-52,M,M,05-02-10,0,66,53,1,9AF24ACC-EA3E-4EFE-B5E3-4762C496D57C,29-06-14 22:00
85,1662732,adventure-works\brian2,/3/1/7/7/,4,Production Technician - WC40,23-12-70,S,M,11-12-09,0,63,51,1,C294F676-CAAF-4924-9730-BC81AE408BE1,29-06-14 22:00
86,769680433,adventure-works\ryan0,/3/1/7/8/,4,Production Technician - WC40,13-06-72,M,M,05-01-09,0,59,49,1,10E5BD6F-2B9C-4192-A94D-6A2D50EA1ADB,29-06-14 22:00
87,7201901,adventure-works\cristian0,/3/1/8/,3,Production Supervisor - WC10,11-04-84,M,M,22-12-08,0,67,53,1,5BE16416-8570-417D-9E54-047DB468B5E9,29-06-14 22:00
88,294148271,adventure-works\betsy0,/3/1/8/1/,4,Production Technician - WC10,17-12-66,S,F,18-12-09,0,99,69,1,EBCDBA1C-6C1D-4D36-90F7-1893755C85E3,29-06-14 22:00
89,90888098,adventure-works\patrick0,/3/1/8/2/,4,Production Technician - WC10,10-09-86,S,M,01-02-10,0,96,68,1,D5FBE9E6-B8C5-484C-B4B8-48059E0EF267,29-06-14 22:00
90,82638150,adventure-works\danielle0,/3/1/8/3/,4,Production Technician - WC10,07-09-86,S,F,20-02-10,0,97,68,1,BB886159-1400-4264-B7C9-A3769BEB1274,29-06-14 22:00
91,390124815,adventure-works\kimberly0,/3/1/8/4/,4,Production Technician - WC10,13-09-86,S,F,12-01-10,0,95,67,1,CE256B6C-1EEE-43ED-9969-7CAC480FF4D7,29-06-14 22:00
92,826454897,adventure-works\tom0,/3/1/8/5/,4,Production Technician - WC10,01-10-86,M,M,10-03-10,0,98,69,1,B3BF7FC5-2014-48CE-B7BB-76124FA8446C,29-06-14 22:00
93,778552911,adventure-works\kok-ho0,/3/1/9/,3,Production Supervisor - WC50,28-04-80,S,M,27-12-08,0,78,59,1,57FB2C0F-B105-49F0-967A-88F3D743CB3F,29-06-14 22:00
94,718299860,adventure-works\russell0,/3/1/9/1/,4,Production Technician - WC50,25-11-72,M,M,12-12-08,0,6,23,1,6B10192F-D570-47C4-82C9-3D979B1EFDC1,29-06-14 22:00
95,674171828,adventure-works\jim0,/3/1/9/2/,4,Production Technician - WC50,08-09-86,M,M,19-12-08,0,1,20,1,6175876E-8FCC-4917-BE06-FC358515E6DF,29-06-14 22:00
96,912141525,adventure-works\elizabeth0,/3/1/9/3/,4,Production Technician - WC50,25-01-90,M,F,02-03-09,0,5,22,1,62A9F73F-6443-4F2F-B864-18186614BFB6,29-06-14 22:00
97,370581729,adventure-works\mandar0,/3/1/9/4/,4,Production Technician - WC50,21-03-86,S,M,10-02-09,0,0,20,1,1F0E068A-48C5-40BF-8190-565150EFDADD,29-06-14 22:00
98,152085091,adventure-works\sameer0,/3/1/9/5/,4,Production Technician - WC50,26-06-78,M,M,11-02-09,0,4,22,1,A703169F-1563-488E-914D-D784FD07F29A,29-06-14 22:00
99,431859843,adventure-works\nuan0,/3/1/9/6/,4,Production Technician - WC50,29-03-79,S,M,06-01-09,0,2,21,1,A6089357-2F2F-48CC-AB3C-D9B75A3C09D7,29-06-14 22:00
100,204035155,adventure-works\lolan0,/3/1/9/7/,4,Production Technician - WC50,24-01-73,M,M,12-01-09,0,7,23,1,9B9B768D-7CC1-4DCE-87CB-765AB73A6AFF,29-06-14 22:00
101,153288994,adventure-works\houman0,/3/1/9/8/,4,Production Technician - WC50,30-08-71,M,M,25-01-09,0,3,21,1,9CE8B2E8-9944-4BA5-97DE-441D8314F161,29-06-14 22:00
102,360868122,adventure-works\zheng0,/3/1/10/,3,Production Supervisor - WC10,26-10-83,S,M,03-12-08,0,66,53,1,C75F2740-ACE3-4EBF-91C5-7AB352E1095F,29-06-14 22:00
103,455563743,adventure-works\ebru0,/3/1/10/1/,4,Production Technician - WC10,22-09-86,S,M,06-12-09,0,93,66,1,6C25A32B-88B5-4F84-A129-F7F688DFA588,29-06-14 22:00
104,717889520,adventure-works\mary1,/3/1/10/2/,4,Production Technician - WC10,19-09-86,M,F,25-12-09,0,94,67,1,6DC9F7D0-5664-4E4A-90F5-7AB85EBB02E6,29-06-14 22:00
105,801365500,adventure-works\kevin2,/3/1/10/3/,4,Production Technician - WC10,19-09-86,S,M,25-12-09,0,90,65,1,8B21E53D-E705-479A-B32E-6E63AC2F4BCD,29-06-14 22:00
106,561196580,adventure-works\john4,/3/1/10/4/,4,Production Technician - WC10,28-09-86,S,M,27-02-10,0,92,66,1,D4CF23D9-21B6-45E4-827C-22890DF0373B,29-06-14 22:00
107,393421437,adventure-works\christopher0,/3/1/10/5/,4,Production Technician - WC10,01-10-86,M,M,08-02-10,0,91,65,1,F71C6055-557B-4660-86FF-8C0FA14B24E6,29-06-14 22:00
108,630184120,adventure-works\jinghao0,/3/1/11/,3,Production Supervisor - WC50,05-02-89,S,M,08-12-08,0,77,58,1,2BCA07D3-F2AC-4406-904F-E09156F3EB3E,29-06-14 22:00
109,113695504,adventure-works\alice0,/3/1/11/1/,4,Production Technician - WC50,26-01-78,M,F,07-12-08,0,95,67,1,7E632B21-0D11-4BBA-8A68-8CAE14C20AE6,29-06-14 22:00
110,857651804,adventure-works\jun0,/3/1/11/2/,4,Production Technician - WC50,06-07-79,S,M,14-12-08,0,90,65,1,9C5F84D1-FB96-4D82-92A1-F932903DEAAD,29-06-14 22:00
111,415823523,adventure-works\suroor0,/3/1/11/3/,4,Production Technician - WC50,25-02-78,S,M,17-12-08,0,93,66,1,14010B0E-C101-4E41-B788-21923399E512,29-06-14 22:00
112,981597097,adventure-works\john1,/3/1/11/4/,4,Production Technician - WC50,31-05-78,S,M,01-01-09,0,91,65,1,B6998410-EE0F-4307-9E6E-FE348F11012D,29-06-14 22:00
113,54759846,adventure-works\linda0,/3/1/11/5/,4,Production Technician - WC50,17-07-87,M,F,25-12-08,0,96,68,1,FB84759C-B687-43B2-8727-125EFE0F5E13,29-06-14 22:00
114,342607223,adventure-works\mindaugas0,/3/1/11/6/,4,Production Technician - WC50,07-05-78,M,M,13-01-09,0,97,68,1,1D784088-DACB-4185-9F60-3D2DB4925BA5,29-06-14 22:00
115,563680513,adventure-works\angela0,/3/1/11/7/,4,Production Technician - WC50,31-05-91,S,F,20-01-09,0,92,66,1,4958E1C3-C872-4222-954E-09D2060EA7EF,29-06-14 22:00
116,398737566,adventure-works\michael2,/3/1/11/8/,4,Production Technician - WC50,03-05-74,S,M,31-01-09,0,98,69,1,C6EB2566-CF28-4602-9A25-5B91C8728838,29-06-14 22:00
117,599942664,adventure-works\chad0,/3/1/11/9/,4,Production Technician - WC50,04-08-90,M,M,18-02-09,0,99,69,1,83A32D4C-4725-478F-9997-91739BB957BA,29-06-14 22:00
118,222400012,adventure-works\don0,/3/1/11/10/,4,Production Technician - WC50,13-06-71,M,M,13-02-09,0,88,64,1,E720053D-922E-4C91-B81A-A1CA4EF8BB0E,29-06-14 22:00
119,334834274,adventure-works\michael4,/3/1/11/11/,4,Production Technician - WC50,15-06-89,S,M,25-02-09,0,94,67,1,EB27C026-9470-4450-8D5E-1F38A41793B5,29-06-14 22:00
120,211789056,adventure-works\kitti0,/3/1/11/12/,4,Production Technician - WC50,06-06-87,S,F,04-03-09,0,89,64,1,49A05524-FA34-45B1-95BC-489901DC5B50,29-06-14 22:00
121,521265716,adventure-works\pilar0,/3/1/12/,3,Shipping and Receiving Supervisor,09-09-72,S,M,02-01-09,1,93,66,1,01BCCE22-D63A-4C3F-9BA8-D3D5A4C3BD52,29-06-14 22:00
122,586486572,adventure-works\susan0,/3/1/12/1/,4,Stocker,17-02-78,S,F,07-12-08,0,97,68,1,923ECFD6-E202-429A-9141-6CB183531439,29-06-14 22:00
123,337752649,adventure-works\vamsi0,/3/1/12/2/,4,Shipping and Receiving Clerk,18-03-77,M,M,07-12-08,0,95,67,1,A8838AB2-99DE-415C-8675-D82EBF1C4752,29-06-14 22:00
124,420776180,adventure-works\kim0,/3/1/12/3/,4,Stocker,30-04-84,S,F,26-12-08,0,98,69,1,6150F197-7923-40D4-84F2-936207D468AB,29-06-14 22:00
125,584205124,adventure-works\matthias0,/3/1/12/4/,4,Shipping and Receiving Clerk,11-11-73,M,M,20-01-09,0,94,67,1,54ED63DC-C62C-4CC7-89C2-015DF49C49A5,29-06-14 22:00
126,652779496,adventure-works\jimmy0,/3/1/12/5/,4,Stocker,04-05-85,M,M,26-02-09,0,96,68,1,96442787-9520-4955-A457-38AFDDB6FF13,29-06-14 22:00
127,750905084,adventure-works\david4,/3/1/13/,3,Production Supervisor - WC40,02-07-83,S,M,03-01-09,0,73,56,1,516538E8-115B-44F4-AA7B-E6C1D9F8ADFC,29-06-14 22:00
128,384162788,adventure-works\paul0,/3/1/13/1/,4,Production Technician - WC40,13-11-80,S,M,04-12-08,0,68,54,1,0217049E-1566-42B6-8027-41B751E2B00B,29-06-14 22:00
129,502058701,adventure-works\gary0,/3/1/13/2/,4,Production Technician - WC40,16-05-88,S,M,22-12-08,0,69,54,1,A03D6052-1F85-4EBE-AAC9-B67CFDCD91A6,29-06-14 22:00
130,578953538,adventure-works\rob1,/3/1/13/3/,4,Production Technician - WC40,04-08-73,S,M,13-02-09,0,71,55,1,54FDA597-6822-42B4-B128-63ECA03071F2,29-06-14 22:00
131,273260055,adventure-works\baris0,/3/1/13/4/,4,Production Technician - WC40,07-10-90,S,M,15-02-09,0,72,56,1,232D68BF-DF58-48F9-9235-53BD4B009B4B,29-06-14 22:00
132,1300049,adventure-works\nicole0,/3/1/13/5/,4,Production Technician - WC40,09-04-86,M,F,22-02-09,0,67,53,1,15671E3B-016F-41FD-840B-5A9F7D776D9A,29-06-14 22:00
133,830150469,adventure-works\michael1,/3/1/13/6/,4,Production Technician - WC40,04-01-91,S,M,10-01-09,0,70,55,1,416BF905-7D6C-4692-8FD6-40F6C4F9ECC4,29-06-14 22:00
134,45615666,adventure-works\eric0,/3/1/14/,3,Production Supervisor - WC20,19-01-85,M,M,14-01-09,0,40,40,1,2ABCF39B-88D7-49FA-820A-83D223322BA5,29-06-14 22:00
135,964089218,adventure-works\ivo0,/3/1/14/1/,4,Production Technician - WC20,03-01-82,M,M,04-12-08,0,9,24,1,D83A26F3-7EA7-477B-A5BB-7EAADFC13A09,29-06-14 22:00
136,701156975,adventure-works\sylvester0,/3/1/14/2/,4,Production Technician - WC20,12-11-70,M,M,11-12-09,0,4,22,1,D9C43D08-3882-4E5C-BDF0-F6BD7004CD04,29-06-14 22:00
137,63761469,adventure-works\anibal0,/3/1/14/3/,4,Production Technician - WC20,05-09-74,S,F,23-02-09,0,8,24,1,BC18A829-F0CE-4EAF-9785-2D84C86F925A,29-06-14 22:00
138,25011600,adventure-works\samantha0,/3/1/14/4/,4,Production Technician - WC20,22-11-87,M,F,04-02-09,0,7,23,1,1629EDDD-D0AE-4CB9-A59C-3A175F7027E5,29-06-14 22:00
