Employee_ID,Employee_Job_Title,Employee_Annual_Salary,Employee_Gender,Employee_Birth_Date,Employee_Hire_Date,Employee_Termination_Date,Manager_for_Employee,SSN,Employee_Name
120178,Sales Rep. II,26165,M,1958/11/23,1978/04/01,,120102,276-86-7310,"Plested, Billy"
121089,Sales Rep. II,28095,M,1958/08/21,1978/07/01,2010/10/31,121143,963-87-3695,"Sauder, Gregory"
121135,Sales Rep. I,27010,F,1958/06/07,1978/08/01,,121145,075-30-2918,"Ruta, Tammy"
120160,Sales Rep. I,27115,M,1958/09/09,1978/10/01,,120102,421-02-5121,"Segrave, Chuck"
121044,Sales Rep. I,25660,M,1958/12/11,1979/08/01,,121144,045-87-4776,"Abbott, Ray"
121025,Sales Rep. II,28295,M,1953/10/10,1979/09/01,,121144,438-56-4418,"Cassey, Barnaby"
121081,Sales Rep. III,30235,F,1953/03/28,1980/04/01,,121143,,"Knudson, Susie"
121100,Sales Rep. II,28135,M,1953/04/27,1980/04/01,,121143,737-47-5975,"Cormell, Tzue-Ing"
121054,Sales Rep. III,29805,M,1958/11/12,1980/11/01,,121143,864-48-5995,"Pulliam, Daniel"
120173,Sales Rep. I,26715,M,1958/02/23,1981/06/01,2008/07/31,120102,546-22-9687,"Osborn, Hernani"
121071,Sales Rep. III,28625,M,1963/09/10,1981/09/01,,121145,556-65-5330,"Hoppmann, John"
121082,Sales Rep. III,28510,M,1953/07/05,1981/10/01,,121143,609-81-9148,"Debank, Richard"
120148,Sales Rep. III,28480,M,1953/09/13,1982/06/01,,120103,510-00-1866,"Zubak, Michael"
120122,Sales Rep. II,27475,F,1958/07/27,1982/07/01,,120102,089-47-5114,"Ngan, Christina"
121094,Sales Rep. I,26555,M,1958/01/07,1982/09/01,,121143,967-49-0193,"Tate, Larry"
120132,Sales Rep. III,28525,F,1953/04/05,1982/10/01,,120102,456-22-3493,"Kaiser, Fancine"
121051,Sales Rep. I,26025,F,1953/05/02,1982/11/01,,121143,968-92-3216,"Myers, Glorina"
121078,Sales Rep. I,27485,M,1953/05/01,1982/11/01,,121143,242-70-4182,"Wende, Lionel"
120180,Sales Rep. II,26970,M,1958/06/27,1982/12/01,,120102,918-93-7071,"George, Vino"
120124,Sales Rep. I,26480,M,1963/05/13,1983/03/01,,120102,097-92-8395,"Daymond, Lucian"
120125,Sales Rep. IV,32040,M,1958/12/06,1983/03/01,2008/07/31,120102,257-58-1087,"Hofmeister, Fong"
121083,Sales Rep. I,27245,F,1963/03/11,1983/03/01,,121143,008-09-5291,"Sutton, Tingmei"
121090,Sales Rep. I,26600,F,1958/06/19,1984/02/01,,121143,607-53-3101,"Klibbe, Betty"
121039,Sales Rep. II,27460,M,1958/06/03,1984/05/01,,121144,561-54-0481,"Washington, Donald"
120146,Sales Rep. I,25985,M,1963/10/02,1984/08/01,2009/09/30,120103,713-92-9598,"Cederlund, Wendall"
121057,Sales Rep. I,25125,M,1963/12/26,1984/12/01,,121143,007-21-6147,"Voron, Tachaun"
121059,Sales Rep. II,27425,F,1963/10/25,1985/04/01,2007/12/31,121143,107-05-5563,"Carhide, Jacqulin"
120164,Sales Rep. II,27450,F,1963/11/26,1986/02/01,,120102,347-93-6206,"Stamalis, Ranj"
120150,Sales Rep. III,29965,M,1958/07/09,1986/08/01,2008/04/30,120103,234-49-7560,"Filo, John"
120143,Sales Rep. II,26790,M,1963/05/17,1986/10/01,,120103,255-77-5079,"Sloey, Phu"
121040,Sales Rep. III,29525,F,1963/07/06,1986/11/01,,121144,985-86-9431,"Darrohn, Brienne"
121076,Sales Rep. II,26685,M,1968/10/09,1987/01/01,2008/05/31,121143,389-24-3331,"Cobb, Micah"
121061,Sales Rep. III,29815,M,1958/07/16,1988/07/01,,121143,634-40-1176,"Hassam, Lauris"
120145,Sales Rep. II,26060,M,1968/01/22,1989/06/01,,120103,124-00-2425,"Aisbitt, Sandy"
121031,Sales Rep. III,28060,M,1968/07/09,1989/08/01,,121144,381-39-1694,"Filan, Scott"
120123,Sales Rep. I,26190,F,1968/09/28,1989/10/01,2009/01/31,120102,383-19-3715,"Hotstone, Kimiko"
120129,Sales Rep. III,30070,M,1968/11/22,1989/10/01,2007/03/31,120102,445-82-8341,"Roebuck, Alvin"
121104,Sales Rep. II,28315,F,1968/11/12,1990/04/01,2006/01/31,121143,061-33-7488,"Johnson, Leoma"
120159,Sales Rep. IV,30765,F,1968/02/24,1990/07/01,,120102,534-77-3294,"Phoumirath, Lynelle"
120158,Sales Rep. III,36605,M,1968/07/14,1991/07/01,2009/08/31,120102,977-60-2710,"Pilgrim, Daniel"
121139,Sales Rep. II,27700,F,1963/08/19,1991/07/01,,121145,451-61-9583,"Mckee, Diosdado"
121080,Sales Rep. I,32235,M,1963/01/24,1991/09/01,,121143,086-57-3574,"Chinnis, Kumar"
121074,Sales Rep. I,26990,M,1963/03/01,1992/10/01,,121145,855-53-1211,"Michonski, Eric"
121091,Sales Rep. II,27325,M,1973/02/19,1993/01/01,,121143,882-12-1413,"Kadiri, Ernest"
121023,Sales Rep. I,26010,M,1968/03/13,1993/05/01,2009/08/31,121144,520-53-3109,"Fuller, Shawn"
121027,Sales Rep. II,26165,M,1968/05/05,1993/12/01,,121144,829-83-4727,"Rudder, Allan"
121029,Sales Rep. I,27225,M,1968/12/22,1993/12/01,,121144,153-16-2789,"Mcelwee, Kuo-Chung"
121109,Sales Rep. I,26035,M,1973/11/05,1994/05/01,,121143,481-31-7308,"Boulus, Harold"
121069,Sales Rep. II,26195,M,1973/03/19,1994/10/01,,121145,872-69-3273,"Lapsley, Jason"
120163,Sales Rep. II,26735,M,1968/05/22,1995/01/01,,120102,706-28-4290,"Magrath, Brett"
121084,Sales Rep. I,22710,M,1968/08/16,1995/01/01,,121143,534-92-2128,"Ould, Tulsidas"
121095,Sales Rep. II,28010,F,1973/04/14,1995/07/01,,121143,175-95-9594,"Kratzke, Sara"
121064,Sales Rep. I,25110,M,1968/01/28,1995/09/01,,121145,163-54-3966,"Polky, Asishana"
121043,Sales Rep. II,28225,F,1973/11/09,1996/03/01,,121144,060-88-3887,"Kagarise, Sigrid"
121068,Sales Rep. II,27550,M,1973/12/02,1996/09/01,,121145,110-80-4309,"Osuba, Salaheloin"
120170,Sales Rep. III,28830,M,1978/02/25,1996/10/01,2010/10/31,120102,574-43-1404,"Kingston, Alban"
120149,Sales Rep. I,26390,F,1978/11/21,1997/01/01,,120103,905-60-3585,"Chantharasy, Judy"
121045,Sales Rep. II,28560,F,1968/06/13,1998/01/01,2008/02/29,121143,788-63-2249,"Hampton, Cascile"
121093,Sales Rep. I,27410,M,1968/07/18,1998/01/01,2007/06/30,121143,482-57-1127,"Vasconcellos, Carl"
121021,Sales Rep. IV,32985,F,1978/12/10,1998/03/01,,121144,337-71-9456,"Farren, Priscilla"
121096,Sales Rep. I,26335,M,1973/05/18,1999/05/01,,121143,810-60-4039,"Newstead, Robert"
121097,Sales Rep. II,26830,F,1978/10/23,1999/10/01,,121143,hello219-68-1098,"Chernega, Willeta"
121106,Sales Rep. I,25880,M,1973/02/02,2000/02/01,,121143,206-54-7999,"Hilburger, James"
120135,Sales Rep. IV,32490,M,1973/01/26,2001/10/01,2008/04/30,120102,967-44-0288,"Platts, Alexei"
121079,Sales Rep. I,25770,M,1978/06/03,2001/11/01,,121143,369-24-2683,"Mees, Azmi"
120153,Sales Rep. I,27260,F,1983/05/07,2002/01/01,2010/01/31,120102,117-57-5009,"Waal, Samantha"
120177,Sales Rep. III,28745,F,1983/04/05,2002/02/01,,120102,349-07-2227,"Kierce, Franca"
120127,Sales Rep. II,28100,F,1983/01/04,2002/11/01,,120102,036-29-9667,"Clarkson, Sharryn"
121087,Sales Rep. II,28325,F,1978/12/07,2003/03/01,2010/03/31,121143,788-14-2460,"O'Suilleabhain, Virtina"
121042,Sales Rep. III,28845,M,1983/04/04,2003/11/01,,121144,888-84-0152,"Robbin-Coker, Joseph"
121099,Sales Rep. IV,32725,M,1983/03/19,2004/05/01,,121143,658-54-7772,"Mrvichin, Royall"
121030,Sales Rep. I,26745,M,1983/11/12,2005/02/01,,121144,523-63-5913,"Areu, Jeryl"
121140,Sales Rep. I,26335,M,1983/01/23,2005/04/01,2010/01/31,121145,084-08-6174,"Briggi, Saunders"
121022,Sales Rep. IV,32210,M,1983/10/28,2006/02/01,2008/08/31,121144,355-45-0392,"Stevens, Robert"
121037,Sales Rep. III,28310,M,1978/06/12,2006/03/01,,121144,295-70-7059,"Miketa, Muthukumar"
121020,Sales Rep. IV,31750,F,1988/02/23,2006/05/01,,121144,703-63-9068,"Ridley, Cherda"
121092,Sales Rep. I,25680,F,1978/03/08,2006/08/01,,121143,447-78-9329,"Pritt, Gynell"
121058,Sales Rep. I,26270,M,1978/07/12,2006/10/01,,121143,821-15-1683,"Kohake, Del"
121136,Sales Rep. I,27460,F,1978/07/15,2006/12/01,2008/09/30,121145,954-18-9609,"Galarneau, Lesia"
120131,Sales Rep. I,26910,M,1983/09/25,2007/01/01,,120102,039-11-6094,"Surawski, Marinus"
121105,Sales Rep. III,29545,F,1983/05/09,2007/01/01,,121143,085-13-8459,"Savacool, Jessica"
120136,Sales Rep. I,26605,M,1983/09/16,2007/02/01,,120102,737-35-1762,"Leyden, Atul"
121056,Sales Rep. II,28325,F,1988/07/05,2007/05/01,,121143,823-65-9311,"Lyszyk, Stacey"
121036,Sales Rep. I,25965,F,1992/07/18,2007/10/01,2009/10/31,121144,314-13-2259,"Mesley, Teresa"
120179,Sales Rep. III,28510,M,1978/03/15,2008/01/01,2008/08/31,120102,728-25-9828,"Wills, Matsuoka"
121024,Sales Rep. II,26600,M,1988/09/21,2008/05/01,,121144,716-97-6713,"Westlund, Michael"
121019,Sales Rep. IV,31320,M,1990/06/25,2008/06/01,2009/07/31,121144,027-00-3578,"Desanctis, Scott"
121033,Sales Rep. III,29775,F,1990/11/06,2008/06/01,,121144,274-77-8534,"Snitzer, Kristie"
121072,Sales Rep. I,26105,M,1983/01/10,2008/09/01,2009/10/31,121145,802-74-3703,"North, Christer"
120152,Sales Rep. I,26515,M,1983/05/01,2009/04/01,,120102,148-75-5338,"Dives, Sean"
121063,Sales Rep. II,35990,M,1983/07/27,2009/08/01,,121145,729-96-4035,"Kinol, Regi"
120162,Sales Rep. I,27215,M,1992/09/05,2010/02/01,,120102,943-43-0183,"Scordia, Randal"
121070,Sales Rep. III,29385,F,1988/11/04,2010/02/01,,121145,728-21-7433,"Holthouse, Agnieszka"
120137,Sales Rep. III,29715,F,1983/03/12,2010/03/01,,120102,402-94-7709,"Iyengar, Marina"
120156,Sales Rep. I,26445,F,1992/09/01,2010/03/01,,120102,772-99-2367,"Snellings, Gerry"
120165,Sales Rep. I,27050,M,1988/03/19,2010/03/01,,120102,181-00-5355,"Pretorius, Tadashi"
121032,Sales Rep. IV,31335,M,1992/02/24,2010/03/01,,121144,910-64-2664,"Smith, Nasim"
121067,Sales Rep. IV,31865,F,1990/01/18,2010/03/01,2010/09/01,121145,294-60-9411,"Macnair, Jeanilla"
120155,Sales Rep. III,29990,F,1988/04/22,2010/04/01,,120102,640-85-7012,"James, Narelle"
121026,Sales Rep. IV,31515,M,1990/11/08,2010/04/01,,121144,162-30-9249,"Jaime, Terrill"
121065,Sales Rep. III,28040,F,1988/09/05,2010/04/01,,121145,557-40-7901,"Malta, Corneille"
121137,Sales Rep. I,27055,M,1992/01/18,2010/04/01,,121145,876-12-1631,"Boocks, Michael. R."
120130,Sales Rep. I,26955,M,1988/12/14,2010/05/01,,120102,143-12-4676,"Lyon, Kevin"
120141,Sales Rep. II,27465,F,1992/03/12,2010/05/01,,120103,283-90-3049,"Liebman, Amanda"
120169,Sales Rep. III,28135,M,1988/01/02,2010/05/01,,120102,966-26-7530,"Tannous, Cos"
121098,Sales Rep. I,27475,M,1992/03/22,2010/05/01,,121143,080-66-5221,"Heatwole, Hal"
121102,Sales Rep. I,27115,F,1983/06/26,2010/06/01,,121143,657-70-9638,"Flammia, Rocheal"
120138,Sales Rep. I,25795,F,1983/07/11,2010/07/01,,120102,373-16-4566,"Duckett, Shani"
120142,Sales Rep. III,29695,M,1990/06/14,2010/07/01,,120103,350-61-1042,"Eastley, Vincent"
121046,Sales Rep. I,25845,M,1988/09/07,2010/07/01,2011/01/01,121143,921-73-4364,"Mandzak, Roger"
121107,Sales Rep. IV,31380,F,1990/04/24,2010/07/01,,121143,778-29-5999,"Anger, Rose"
120126,Sales Rep. II,26780,M,1992/09/20,2010/08/01,,120102,088-24-9595,"Denny, Satyakam"
121038,Sales Rep. I,25285,M,1992/02/13,2010/08/01,2011/02/01,121144,366-10-0075,"Anstey, David"
121055,Sales Rep. III,30185,M,1992/01/08,2010/08/01,,121143,174-95-3655,"Davis, Clement"
121062,Sales Rep. IV,30305,F,1988/10/28,2010/08/01,,121145,957-64-2816,"Armant, Debra"
120139,Sales Rep. II,26810,F,1990/08/18,2010/09/01,,120102,327-84-0220,"Wilson, Fang"
120171,Sales Rep. II,26205,F,1988/07/19,2010/09/01,,120102,314-53-2123,"Moody, Alena"
121047,Sales Rep. I,25820,F,1983/11/26,2010/09/01,2011/03/01,121143,856-23-7556,"Grzebien, Karen"
121048,Sales Rep. I,26560,F,1988/06/24,2010/09/01,2011/03/01,121143,410-21-8164,"Clark, Lawrie"
121103,Sales Rep. I,27260,M,1992/04/28,2010/09/01,,121143,862-19-2330,"Farnsworth, Brian"
120133,Sales Rep. II,27440,F,1990/04/22,2010/10/01,,120102,088-57-9593,"Soltau, Petrea"
120140,Sales Rep. I,26970,M,1992/08/03,2010/10/01,,120103,510-27-7886,"Minas, Michael"
120144,Sales Rep. III,30265,M,1990/03/07,2010/10/01,,120103,436-40-3617,"Barbis, Viney"
120147,Sales Rep. II,26580,F,1992/01/19,2010/10/01,,120103,002-76-2169,"Rusli, Skev"
120161,Sales Rep. III,30785,F,1992/03/07,2010/10/01,,120102,493-21-1108,"Martines, Rosette"
120175,Sales Rep. I,25745,M,1992/08/18,2010/10/01,,120102,602-65-4238,"Conolly, Andrew"
121077,Sales Rep. III,28585,M,1988/09/05,2010/10/01,,121143,445-56-8520,"Smotherly, Bryce"
120128,Sales Rep. IV,30890,F,1990/07/14,2010/11/01,,120102,107-58-5960,"Kletschkus, Monica"
120168,Sales Rep. I,25275,F,1988/03/24,2010/11/01,,120102,315-91-4521,"Barcoe, Selina"
120176,Sales Rep. I,26095,M,1990/11/09,2010/11/01,,120102,248-57-5992,"Pa, Koavea"
121028,Sales Rep. I,26585,M,1992/04/27,2010/11/01,,121144,732-94-3985,"Smades, William"
121052,Sales Rep. II,26900,M,1990/01/09,2010/11/01,,121143,063-51-7196,"Fay, Richard"
121101,Sales Rep. I,25390,F,1990/08/28,2010/11/01,,121143,428-59-7468,"Buckner, Burnetta"
121108,Sales Rep. I,25930,F,1992/07/04,2010/11/01,2011/05/01,121143,076-69-8811,"Levi, Libby"
120157,Sales Rep. II,27860,M,1990/02/21,2010/12/01,,120102,546-36-2811,"Karavdic, Leonid"
120198,Sales Rep. III,28025,F,1992/01/21,2010/12/01,,120103,619-59-4011,"Body, Meera"
121049,Sales Rep. I,26930,F,1990/02/14,2010/12/01,,121143,008-90-9458,"Bataineh, Perrior"
121050,Sales Rep. II,26080,F,1990/01/12,2010/12/01,,121143,941-62-4741,"Capristo-Abramczyk, Patricia"
120146,Sales Rep. II,27284,M,1963/10/02,2011/01/01,,120103,713-92-9598,"Cederlund, Wendall"
121034,Sales Rep. II,27110,M,1992/08/23,2011/01/01,,121144,590-47-7664,"Kirkman, John"
121085,Sales Rep. IV,32235,M,1990/11/12,2011/01/01,,121143,157-59-1652,"Huslage, Rebecca"
121088,Sales Rep. I,27240,M,1992/06/10,2011/01/01,,121143,701-31-9529,"Kernitzki, Momolu"
120134,Sales Rep. II,29416,M,1953/06/06,2011/12/01,,120102,905-76-7767,"Shannan, Sian"
120166,Sales Rep. II,32193,M,1948/06/14,2011/12/01,,120102,878-79-9390,"Nowd, Fadi"
120167,Sales Rep. II,26444,F,1958/05/04,2011/12/01,,120102,139-34-1780,"Tilley, Kimiko"
